AREA,PERIMETER,COUNT,GBCITY,GBPROV,GBCNTY,ENAME,A101001,A101002,A101003,A101004,A101005,A101006,A101007,A101008,A101009,A101010,A101011,A101012,A101013,A101014,A101015,A101016,A102001,A102002,A102003,A102004,A102005,A102006,A102007,A102008,A102009,A102010,A102011,A102012,A102013,A102014,A102015,A102016,A102017,A102018,A103001,A103002,A103003,A103004,A103005,A103006,A103007,A103008,A103009,A103010,A103011,A103012,A103013,A103014,A103015,A103016,A103017,A103018,A104001,A104002,A104003,A104004,A104005,A104006,A104007,A104008,A104009,A104010,A104011,A104012,A104013,A104014,A104015,A105001,A105002,A105003,A105004,A105005,A105006,A105007,A105008,A105009,A105010,A105011,A105012,A106001,A106002,A106003,A106004,A106005,A106006,A106007,A106008,A106009,A106010,A106011,A106012,A106013,A106014,A106015,A106016,A106017,A106018,A106019,A106020,A106021,A106022,A106023,A106024,A106025,A106026,A106027,A106028,A106029,A106030,A106031,A106032,A106033,A106034,A106035,A106036,A106037,A106038,A106039,A106040,A106041,A106042,A106043,A106044,A106045,A106046,A106047,A106048,A106049,A106050,A106051,A106052,A106053,A106054,A106055,A106056,A106057,A106058,A106059,A106060,A106061,A106062,A106063,A106064,A106065,A106066,A106067,A106068,A106069,A106070,A106071,A106072,A106073,A106074,A106075,A106076,A106077,A106078,A106079,A106080,A106081,A106082,A106083,A106084,A106085,A106086,A106087,A106088,A106089,A106090,A106091,A106092,A106093,A106094,A106095,A106096,A106097,A106098,A106099,A106100,A106101,A106102,A106103,A106104,A106105,A106106,A106107,A106108,A106109,A106110,A106111,A106112,A106113,A106114,A106115,A106116,A106117,A106118,A106119,A106120,A106121,A106122,A106123,A106124,A106125,A106126,A106127,A106128,A106129,A106130,A106131,A106132,A106133,A106134,A106135,A106136,A106137,A106138,A106139,A106140,A106141,A106142,A106143,A106144,A106145,A106146,A106147,A106148,A106149,A106150,A106151,A106152,A106153,A106154,A106155,A106156,A106157,A106158,A106159,A106160,A106161,A106162,A106163,A106164,A106165,A106166,A106167,A106168,testcount,testsum,testmean
0,0,37,4690,46,469038,Nanshaquandao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
0,0,6,4690,46,469039,Zhongshaquandao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
0.003,0.26,1,1101,11,110101,Dongcheng Qu,177690,169723,7967,535558,269492,266066,101.29,489295,235784,253511,93.01,46263,33708,12555,268.48,2.88,535558,269492,266066,383762,190543,193219,134964,67999,66965,11141,7856,3285,1878,969,909,3813,2125,1688,452933,224028,228905,383762,190543,193219,63480,30391,33089,1878,969,909,3813,2125,1688,14.02,13.57,14.46,146105,75855,70250,0,0,0,74046,34552,39494,1596,634,962,70463,40669,29794,529867,266398,263469,54426,32747,21679,475441,233651,241790,89.73,87.71,91.77,535558,269492,266066,501299,252362,248937,2228,1181,1047,15035,7335,7700,83,53,30,149,105,44,140,69,71,53,29,24,184,97,87,18,9,9,670,279,391,15014,7617,7397,50,19,31,25,15,10,47,21,26,192,102,90,5,2,3,21,7,14,4,2,2,3,1,2,5,2,3,0,0,0,18,17,1,0,0,0,0,0,0,1,1,0,2,0,2,6,4,2,0,0,0,2,0,2,9,5,4,67,33,34,12,4,8,10,1,9,0,0,0,33,27,6,1,1,0,2,2,0,101,51,50,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,15,9,6,20,12,8,0,0,0,0,0,0,2,1,1,2,1,1,3,2,1,0,0,0,7,6,1,4,2,2,4,2,2,0,0,0,40,2513,62.825
0.003,0.246,1,1101,11,110102,Xicheng Qu,244444,230554,13890,706691,360472,346219,104.12,630535,305665,324870,94.09,76156,54807,21349,256.72,2.73,706691,360472,346219,488039,244605,243434,200470,104346,96124,10542,7642,2900,3363,1830,1533,4277,2049,2228,560711,279001,281710,488039,244605,243434,65032,30517,34515,3363,1830,1533,4277,2049,2228,11.6,10.94,12.25,211012,111988,99024,0,0,0,102475,48882,53593,2101,1018,1083,106436,62088,44348,699051,356593,342458,81763,50298,31465,617288,306295,310993,88.3,85.89,90.81,706691,360472,346219,664694,339560,325134,2770,1351,1419,18202,8888,9314,171,105,66,171,120,51,214,106,108,84,39,45,314,170,144,42,19,23,941,421,520,17948,9080,8868,70,37,33,44,24,20,118,61,57,404,216,188,8,2,6,15,8,7,28,6,22,8,5,3,3,0,3,2,1,1,42,20,22,7,5,2,2,0,2,2,0,2,2,1,1,19,11,8,0,0,0,1,1,0,4,4,0,50,30,20,3,0,3,13,7,6,0,0,0,80,61,19,1,0,1,14,11,3,138,70,68,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,23,9,14,3,3,0,0,0,0,0,0,0,3,2,1,0,0,0,5,3,2,0,0,0,7,4,3,5,4,1,1,0,1,0,0,0,44,2759,62.70454545
0.002,0.233,1,1101,11,110103,Chongwen Qu,122613,118524,4089,346205,173384,172821,100.33,328133,160988,167145,96.32,18072,12396,5676,218.39,2.77,346205,173384,172821,242662,121214,121448,98427,49311,49116,2674,1604,1070,1463,778,685,979,477,502,288568,142748,145820,242662,121214,121448,43464,20279,23185,1463,778,685,979,477,502,15.06,14.21,15.9,101101,50915,50186,0,0,0,49715,23001,26714,1879,767,1112,49507,27147,22360,343763,172129,171634,40933,22774,18159,302830,149355,153475,88.09,86.77,89.42,346205,173384,172821,329532,165232,164300,799,408,391,9350,4540,4810,25,11,14,60,34,26,71,31,40,28,14,14,69,39,30,13,5,8,299,121,178,5629,2789,2840,11,6,5,9,6,3,27,19,8,129,55,74,10,2,8,0,0,0,12,3,9,4,1,3,0,0,0,0,0,0,11,9,2,4,3,1,0,0,0,0,0,0,7,3,4,12,4,8,1,0,1,0,0,0,6,2,4,10,6,4,0,0,0,0,0,0,0,0,0,35,27,8,0,0,0,1,1,0,32,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1825,62.93103448
0.002,0.195,1,1101,11,110104,Xuanwu Qu,181129,173619,7510,526132,272000,254132,107.03,480961,235666,245295,96.07,45171,36334,8837,411.16,2.77,526132,272000,254132,370015,191141,178874,145802,74000,71802,7233,5276,1957,1814,997,817,1268,586,682,415925,212692,203233,370015,191141,178874,42828,19968,22860,1814,997,817,1268,586,682,10.3,9.39,11.25,153035,79276,73759,0,0,0,89613,41912,47701,1671,687,984,61751,36677,25074,523050,270417,252633,52279,33359,18920,470771,237058,233713,90,87.66,92.51,526132,272000,254132,487175,252347,234828,1343,670,673,27668,13975,13693,80,42,38,152,106,46,149,90,59,35,13,22,148,80,68,21,12,9,625,284,341,8006,3971,4035,42,15,27,25,15,10,46,22,24,246,133,113,3,0,3,31,18,13,2,0,2,4,3,1,0,0,0,1,0,1,21,12,9,0,0,0,0,0,0,5,3,2,13,12,1,5,3,2,0,0,0,1,1,0,26,21,5,44,19,25,2,0,2,2,0,2,0,0,0,114,88,26,2,2,0,8,5,3,57,25,32,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,9,3,6,4,3,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,1,2,6,1,5,0,0,0,0,0,0,28,1764,63
0.046,1.042,1,1101,11,110105,Chaoyang Qu,770966,712624,58342,2289756,1216155,1073601,113.28,1979644,993548,986096,100.76,310112,222607,87505,254.39,2.78,2289756,1216155,1073601,1230987,629295,601692,996585,548609,447976,47658,30145,17513,9406,5463,3943,5120,2643,2477,1336417,680557,655860,1230987,629295,601692,90904,43156,47748,9406,5463,3943,5120,2643,2477,6.8,6.34,7.28,1044243,578754,465489,0,0,0,515093,251889,263204,17294,8875,8419,511856,317990,193866,2275230,1208049,1067181,613464,359857,253607,1661766,848192,813574,73.04,70.21,76.24,2289756,1216155,1073601,2175201,1158650,1016551,7102,3485,3617,50185,24771,25414,1281,651,630,366,206,160,836,455,381,314,137,177,987,526,461,163,70,93,6379,2940,3439,43636,22502,21134,301,161,140,177,113,64,344,177,167,1256,711,545,35,18,17,56,33,23,65,22,43,51,23,28,7,3,4,7,1,6,98,56,42,19,10,9,3,2,1,21,9,12,5,3,2,54,27,27,18,8,10,11,5,6,50,25,25,149,64,85,30,20,10,45,36,9,0,0,0,41,30,11,12,7,5,24,11,13,290,128,162,3,2,1,0,0,0,4,2,2,3,3,0,2,0,2,43,14,29,20,8,12,2,0,2,0,0,0,8,7,1,3,1,2,1,1,0,3,2,1,9,4,5,4,2,2,7,3,4,4,1,3,671,38241,56.99105812
0.032,1.067,1,1101,11,110106,Fengtai Qu,460605,431537,29068,1369480,719896,649584,110.82,1215762,607640,608122,99.92,153718,112256,41462,270.74,2.82,1369480,719896,649584,655088,333225,321863,686535,370514,316021,19733,12020,7713,6224,3184,3040,1900,953,947,704996,357164,347832,655088,333225,321863,41784,19802,21982,6224,3184,3040,1900,953,947,5.93,5.54,6.32,706268,382534,323734,0,0,0,358697,175750,182947,15720,8010,7710,331851,198774,133077,1361356,715759,645597,428143,239512,188631,933213,476247,456966,68.55,66.54,70.78,1369480,719896,649584,1320578,695538,625040,3348,1610,1738,21563,10672,10891,98,43,55,150,91,59,482,256,226,132,66,66,419,218,201,81,44,37,1441,686,755,19343,9707,9636,205,102,103,61,38,23,99,52,47,902,481,421,7,1,6,3,0,3,13,5,8,28,7,21,0,0,0,7,5,2,65,38,27,5,2,3,1,0,1,9,4,5,5,3,2,7,2,5,2,1,1,1,1,0,45,17,28,60,27,33,23,12,11,12,2,10,1,1,0,41,32,9,0,0,0,69,40,29,129,70,59,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,9,3,6,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,5,2,3,0,0,0,7,2,5,10,7,3,0,0,0,0,0,0,468,23703,50.6474359
0.009,0.438,1,1101,11,110107,Shijingshan Qu,166811,153046,13765,489439,260316,229123,113.61,429593,216457,213136,101.56,59846,43859,15987,274.34,2.81,489439,260316,229123,275533,143617,131916,206590,112164,94426,3498,2213,1285,2983,1898,1085,835,424,411,301309,158254,143055,275533,143617,131916,21958,12315,9643,2983,1898,1085,835,424,411,7.29,7.78,6.74,210088,114377,95711,0,0,0,81047,39756,41291,2689,1810,879,126352,72811,53541,485621,257994,227627,100137,57595,42542,385484,200399,185085,79.38,77.68,81.31,489439,260316,229123,474570,252675,221895,1204,578,626,5145,2539,2606,46,24,22,101,51,50,155,79,76,111,69,42,307,181,126,58,31,27,720,353,367,6367,3362,3005,64,40,24,36,20,16,74,38,36,237,132,105,5,3,2,13,5,8,13,6,7,6,6,0,1,1,0,2,0,2,18,13,5,0,0,0,0,0,0,9,6,3,1,1,0,6,5,1,2,0,2,0,0,0,22,16,6,42,17,25,4,4,0,7,4,3,0,0,0,3,2,1,0,0,0,5,5,0,60,38,22,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,13,5,8,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,131,6754,51.55725191
0.046,1.087,1,1101,11,110108,Haidian Qu,725535,614648,110887,2240124,1195796,1044328,114.5,1708315,840269,868046,96.8,531809,355527,176282,201.68,2.78,2240124,1195796,1044328,1277022,655859,621163,868792,479053,389739,48005,33837,14168,25868,15838,10030,20437,11209,9228,1418459,728171,690288,1277022,655859,621163,95132,45265,49867,25868,15838,10030,20437,11209,9228,6.71,6.22,7.22,916797,512890,403907,0,0,0,333379,161610,171769,15881,7384,8497,567537,343896,223641,2193819,1168749,1025070,533400,318759,214641,1660419,849990,810429,75.69,72.73,79.06,2240124,1195796,1044328,2139368,1145312,994056,10152,5004,5148,28981,14204,14777,865,487,378,1588,869,719,1843,1038,805,663,381,282,2325,1296,1029,348,202,146,5514,2534,2980,41275,20607,20668,613,324,289,486,265,221,590,311,279,2647,1501,1146,72,42,30,230,104,126,100,53,47,165,93,72,18,13,5,15,5,10,310,202,108,54,22,32,19,7,12,34,15,19,63,40,23,116,63,53,13,4,9,24,13,11,148,80,68,299,139,160,81,47,34,63,36,27,6,2,4,62,37,25,11,7,4,107,72,35,496,215,281,1,1,0,8,4,4,2,0,2,4,2,2,14,7,7,81,29,52,68,28,40,2,2,0,4,2,2,25,7,18,10,3,7,15,9,6,3,3,0,35,12,23,43,18,25,7,3,4,2,1,1,668,30460,45.5988024
